ID_BCT_O,ID_ANPR,CALLE,ESQUINA_ENTRE CALLES,COLONIA,TRAMO,SECTOR_UPC,ALCALDÍA,C2,LATITUD,LONGITUD,CLASIFICACION,BOTON,ALTAVOZ,TIPO_POSTE,NUMCAMS,NUMBOT,NUMALT,CANT_ALTAVOZ,TIPO CAMARA,PROYECTO,FECHA_INSTALACIÓN,FASE2019,FASE_ORIGEN,ALCALDIA_2,SECTOR_2,col_v1
3483,0,CALZ DE TLALPAN,CALIZ Y COROLA,EL RELOJ,#N/A,XOTEPINGO,COYOACAN,SUR,19.317381,-99.139059,CONTROL DE TRANSITO,N/A,N/A,20m,1,0,0,0,PTZ,CIUDAD SEGURA,,6.5K,8K,COYOACAN,XOTEPINGO,EL RELOJ
6518,0,COROLA,4TA CDA COROLA (ENTRE TALLO Y POLEN),EL RELOJ,#N/A,XOTEPINGO,COYOACAN,SUR,19.31719,-99.141849,EDUCACION,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ,CIUDAD SEGURA,,6.5K,8K,COYOACAN,XOTEPINGO,EL RELOJ
6562,0,CALIZ,1ER RET CALIZ,EL RELOJ,#N/A,XOTEPINGO,COYOACAN,SUR,19.318346,-99.14013,EDUCACION,CON BOTON,CON ALTAVOZ,9m,1,1,1,2,PTZ,CIUDAD SEGURA,,1.5K,8K,COYOACAN,XOTEPINGO,PUEBLO DE SAN PABLO TEPETLAPA
14391,0,CALIZ,TALLO,EL RELOJ,#N/A,XOTEPINGO,COYOACAN,SUR,19.318965,-99.142583,INCIDENCIA DELICTIVA,SIN BOTON,CON ALTAVOZ,9m,1,0,1,2,PTZ,CIUDAD SEGURA,,7K,7K,COYOACAN,XOTEPINGO,PUEBLO DE SAN PABLO TEPETLAPA
14392,0,CALZ DE TLALPAN,COROLA,EL RELOJ,#N/A,XOTEPINGO,COYOACAN,SUR,19.316464,-99.139363,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ,CIUDAD SEGURA,,7K,7K,COYOACAN,XOTEPINGO,EL RELOJ
14542,0,AV FRESNO,5A CDA COROLA,EL RELOJ,#N/A,XOTEPINGO,COYOACAN,SUR,19.315946,-99.14259,ZONA HABITACIONAL,CON BOTON,CON ALTAVOZ,9m,1,1,1,2,PTZ,CIUDAD SEGURA,,7K,7K,COYOACAN,XOTEPINGO,EL RELOJ
MC2693,0,AV DIVISION DEL  NORTE,CALIZ,EL RELOJ,#N/A,XOTEPINGO,COYOACAN,SUR,19.317886,-99.139163,CRUCES SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A,COYOACAN,XOTEPINGO,EL RELOJ
MC2757,0,CALIZ,ONCEAVA CDA. CALIZ,EL RELOJ,#N/A,XOTEPINGO,COYOACAN,SUR,19.319252,-99.143322,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A,COYOACAN,XOTEPINGO,EL RELOJ
MC2758,0,POLEN,ENTRE COROLA Y CÁLIZ,EL RELOJ,#N/A,XOTEPINGO,COYOACAN,SUR,19.31758981,-99.14025838,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A,COYOACAN,XOTEPINGO,EL RELOJ
MC2759,0,TALLO,COROLA,EL RELOJ,#N/A,XOTEPINGO,COYOACAN,SUR,19.31781,-99.142925,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A,COYOACAN,XOTEPINGO,EL RELOJ
MC2763,0,6A CDA DE CALIZ,CALIZ Y COROLA,EL RELOJ,#N/A,XOTEPINGO,COYOACAN,SUR,19.317906,-99.141654,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A,COYOACAN,XOTEPINGO,EL RELOJ
